Code,Timestamp,Open,Close,Low,High,Volume
AAL,2024-07-19,10.63,10.58,10.43,10.65,25697300
AAL,2024-07-22,10.49,10.69,10.35,10.74,38897200
AAL,2024-07-23,10.63,10.48,10.47,10.74,30548000
AAL,2024-07-24,10.45,10.17,10.12,10.54,47312000
AAPL,2024-07-19,224.82,224.31,223.28,226.8,49151500
AAPL,2024-07-22,227.01,223.96,223.09,227.78,48201800
AAPL,2024-07-23,224.37,225.01,222.68,226.94,39960300
AAPL,2024-07-24,224.0,218.54,217.13,224.8,61777600
AAP,2024-07-19,61.2,59.62,59.35,61.35,1269400
AAP,2024-07-22,59.68,59.75,58.77,60.04,1191400
AAP,2024-07-23,58.66,59.64,58.33,59.84,1239100
AAP,2024-07-24,59.5,58.94,58.45,60.22,1294800
ABBV,2024-07-19,173.67,172.32,171.22,173.85,4293600
ABBV,2024-07-22,173.32,173.61,172.0,174.73,4066900
ABBV,2024-07-23,173.32,173.15,172.77,174.59,2933800
ABBV,2024-07-24,173.2,176.21,172.95,176.6,6117700
ABC,2024-07-19,87.63,88.86,86.79,88.9,1400300
ABC,2024-07-22,90.62,90.19,89.69,91.36,1549400
ABC,2024-07-23,89.04,90.63,88.6,91.09,1254600
ABC,2024-07-24,90.65,90.21,89.65,91.49,1160300
ABT,2024-07-19,100.61,102.03,100.08,102.4,11963600
ABT,2024-07-22,102.5,103.72,102.31,103.83,7880300
ABT,2024-07-23,104.01,103.92,103.37,104.33,5894500
ABT,2024-07-24,104.22,107.26,103.54,107.31,8680900
ACN,2024-07-19,331.09,329.19,327.71,335.79,5376200
ACN,2024-07-22,330.72,331.51,329.72,332.82,3419300
ACN,2024-07-23,331.43,330.33,327.97,332.2,1994000
ACN,2024-07-24,329.38,328.68,328.14,332.54,3286500
ADBE,2024-07-19,557.05,551.0,548.96,561.09,2601900
ADBE,2024-07-22,558.65,554.82,552.71,560.19,2391700
ADBE,2024-07-23,556.49,546.01,544.44,557.25,2363900
ADBE,2024-07-24,543.8,531.04,530.35,544.71,2630100
ADI,2024-07-19,240.3,231.22,230.74,240.3,2894900
ADI,2024-07-22,237.12,240.04,233.32,240.26,2827300
ADI,2024-07-23,234.1,230.32,229.03,236.92,3876200
ADI,2024-07-24,230.63,224.62,223.74,230.96,4589600
ADM,2024-07-19,64.91,64.19,63.53,64.92,2730400
ADM,2024-07-22,64.39,64.15,63.41,64.39,1404300
ADM,2024-07-23,63.81,62.22,62.19,63.99,2255400
ADM,2024-07-24,62.17,62.65,61.89,63.04,1847300
ADP,2024-07-19,248.23,246.97,244.65,248.87,1424500
ADP,2024-07-22,249.17,247.99,245.93,249.17,1421300
ADP,2024-07-23,246.92,248.35,246.01,248.85,765400
ADP,2024-07-24,249.66,247.1,245.8,249.66,1853200
ADSK,2024-07-19,242.95,242.45,239.62,243.54,1120500
ADSK,2024-07-22,245.48,245.26,242.9,245.79,712500
ADSK,2024-07-23,244.96,246.23,244.63,247.31,693900
ADSK,2024-07-24,244.59,239.45,239.01,245.23,1510700
ADS,2024-07-19,267.16,262.91,261.91,267.16,762600
ADS,2024-07-22,262.87,248.55,248.03,263.0,3865900
ADS,2024-07-23,249.4,256.0,248.43,256.0,3224100
ADS,2024-07-24,256.41,260.2,256.23,260.26,2826900
AEE,2024-07-19,75.88,74.82,74.33,75.88,1065100
AEE,2024-07-22,74.98,75.74,74.87,75.8,1332300
AEE,2024-07-23,75.62,75.08,75.0,75.89,1288800
AEE,2024-07-24,75.78,77.04,75.3,77.25,1429400
AEP,2024-07-19,93.81,93.14,92.58,93.81,2072800
AEP,2024-07-22,93.44,94.35,93.1,94.66,2754600
AEP,2024-07-23,94.2,93.64,93.35,94.24,3048900
AEP,2024-07-24,94.29,95.02,93.78,95.57,2523400
AES,2024-07-19,17.2,17.1,17.06,17.28,4641800
AES,2024-07-22,17.4,17.52,17.16,17.57,8080300
AES,2024-07-23,17.33,17.56,17.31,17.88,4993000
AES,2024-07-24,17.68,17.31,17.28,17.91,10045500
AET,2024-07-19,386.0,387.38,380.18,389.33,1075200
AET,2024-07-22,383.0,384.96,380.45,387.0,702900
AET,2024-07-23,384.59,385.87,380.02,388.6,816400
AET,2024-07-24,385.0,386.3,381.24,388.83,866000
AFL,2024-07-19,94.42,92.91,92.44,94.44,5323200
AFL,2024-07-22,93.15,94.5,93.0,94.56,1411300
AFL,2024-07-23,94.48,94.32,93.96,94.64,1040000
AFL,2024-07-24,94.65,94.14,93.72,94.83,1673100
AGN,2024-07-19,99.03,98.08,97.65,99.07,4229200
AGN,2024-07-22,98.13,97.95,97.31,98.14,3265100
AGN,2024-07-23,98.15,96.55,96.36,98.18,4202100
AGN,2024-07-24,95.42,96.6,95.42,97.08,4880300
AIG,2024-07-19,77.92,74.42,74.17,77.92,7045200
AIG,2024-07-22,74.68,76.08,74.68,76.44,5171400
AIG,2024-07-23,76.08,76.88,75.94,77.1,3613900
AIG,2024-07-24,76.85,75.26,75.2,77.25,4129700
AIV,2024-07-19,9.03,9.01,8.93,9.05,651100
AIV,2024-07-22,9.07,9.09,8.96,9.11,872000
AIV,2024-07-23,9.09,9.06,9.03,9.2,853000
AIV,2024-07-24,9.03,8.97,8.96,9.15,883500
AIZ,2024-07-19,172.81,169.79,168.65,172.81,386700
AIZ,2024-07-22,169.24,169.41,168.65,170.89,299800
AIZ,2024-07-23,169.68,172.45,169.12,172.69,319800
AIZ,2024-07-24,173.21,169.88,169.65,173.64,218800
AJG,2024-07-19,271.99,270.27,269.26,272.94,599200
AJG,2024-07-22,271.42,271.76,270.05,273.6,639100
AJG,2024-07-23,273.59,273.22,272.83,276.38,459900
AJG,2024-07-24,274.24,274.32,271.85,276.83,1215200
AKAM,2024-07-19,96.05,95.05,94.46,96.18,1425600
AKAM,2024-07-22,95.47,96.33,94.97,96.61,1043000
AKAM,2024-07-23,96.15,96.06,95.16,96.45,947300
AKAM,2024-07-24,96.1,95.22,95.1,97.29,1280200
ALB,2024-07-19,92.74,92.09,90.02,92.93,2235700
ALB,2024-07-22,93.13,93.57,91.4,93.99,2075700
ALB,2024-07-23,92.38,91.48,91.06,93.04,1896500
ALB,2024-07-24,91.0,90.88,90.75,93.17,2100600
ALGN,2024-07-19,253.46,251.6,249.98,257.42,682000
ALGN,2024-07-22,252.0,249.31,244.53,254.16,721000
ALGN,2024-07-23,249.96,250.65,247.87,252.48,569000
ALGN,2024-07-24,250.07,244.8,244.47,251.63,1266600
ALK,2024-07-19,36.98,37.93,36.58,38.18,3102500
ALK,2024-07-22,37.49,38.73,37.27,38.88,2292500
ALK,2024-07-23,39.11,38.06,37.93,39.27,3856800
ALK,2024-07-24,38.07,37.84,37.76,38.82,1739800
ALLE,2024-07-19,127.97,124.1,124.06,127.97,594200
